created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu May 25 07:57:01 +0000 2023;1661642514024243200;1661642514024243207;"Berbekal elektabilitas yang semakin melonjak naik, @erickthohir berpeluang besar untuk menjadi Cawapres pada Pemilu 2024.  Meski demikian tetap tegak lurus kepada Presiden @jokowi untuk lankah selanjutnya \n\n#BangkitBersamaET \n#GueBarengErickThohir\n#GanjarErickDuetTerbaik https://t.co/lp3OvHvdiI";0;0;0;0;;in;713562482;1661642514024243200;1661642514024243207;"https://pbs.twimg.com/ext_tw_video_thumb/1661642464934100994/pu/img/NbScNe-LmlGWZ9mu.jpg";"photo";cecengmuslih
Thu May 25 07:57:39 +0000 2023;1661642674057924600;1661642674057924608;"@abu_waras @sudjiwotedjo @karniilyas Pernyataan tolol ,,,, presiden nggak bermoral akan hancurlah sebuah negara.";0;0;0;0;;in;1249332470593380353;1661576845974995000;1661576845974994944;"";"";Dewawisnu79
Thu May 25 07:56:52 +0000 2023;1661642475029827600;1661642475029827584;"Survei Capres Mei 2023: Ini Perbandingan Hasil 7 Lembaga Survei, Prabowo dan Ganjar Bersaing Ketat #RidwanKamil #KangEmil https://t.co/aK9pL1OpMH https://t.co/AtJkxuKZ5z";0;0;0;0;;in;1503210682065428494;1661642475029827600;1661642475029827584;"https://pbs.twimg.com/media/Fw9XBn-agAAlX1x.jpg";"photo";ZTrianka
Thu May 25 07:54:51 +0000 2023;1661641967447736300;1661641967447736321;"figur pak Prabowo menjadi presiden karena butuh pemimpin yang tegas dan bisa membawa Indonesia lebih baik lagi.\n\n#SemuaDukungPrabowo\n#SayaSetyoko";0;1;0;0;;in;4513069644;1661641918051418000;1661641918051418118;"";"";LubisDarlina
Thu May 25 07:54:42 +0000 2023;1661641927601848300;1661641927601848320;"Di Kota Tangerang, Emak Emak Dukung Prabowo Jadi Presiden 2024\n\n#SemuaDukungPrabowo\n#SayaSetyoko";0;1;0;0;;in;4513069644;1661641918051418000;1661641918051418118;"";"";LubisDarlina
Thu May 25 07:54:29 +0000 2023;1661641874501939200;1661641874501939201;"@Schlossthe6 @Rizkihadi @VIVAcoid Betul ganjar aslinya pemilihnya blm melewati suara PDI-P. Suara PDI-P paling hanya 20%. PPP itu gerbong kosong. \n\nWajar pak jokowi dukung Prabowo. \n\nSemoga pak Anies jd presiden. Saya dari Banyumas dukung pak Anies";0;0;0;0;;in;951952690111594496;1661224386572218400;1661224386572218369;"";"";NgilmuKantiLaku
Thu May 25 07:54:45 +0000 2023;1661641943015907300;1661641943015907328;"Sekretaris Partai Gerindra Kota Tangerang ini menyatakan bahwa pihaknya akan solid memenangkan Prabowo Subianto sebagai presiden.\n\n#SemuaDukungPrabowo\n#SayaSetyoko";0;1;0;0;;in;4513069644;1661641918051418000;1661641918051418118;"";"";LubisDarlina
Thu May 25 07:54:52 +0000 2023;1661641970014617600;1661641970014617601;"“Ya kita sangat ingin punya presiden yang tegas dan bisa membawa Indonesia lebih baik lagi,” ucapnya.\n\n#SemuaDukungPrabowo\n#SayaSetyoko";0;1;0;0;;in;4513069644;1661641918051418000;1661641918051418118;"";"";LubisDarlina
Thu May 25 07:53:40 +0000 2023;1661641667789856800;1661641667789856768;"Presiden Joko Widodo meminta Mahkamah Konstitusi agar dapat menjadi wasit yang adil jika terjadi sengketa pada Pemilu 2024 mendatang. Hal ini disampaikan Jokowi dalam Sidang Pleno Khusus MK dengan agenda penyampaian Laporan Tahunan 2022, Rabu kemarin (24/5/2023). https://t.co/Jl1Cs7pxTe";1;1;0;2;;in;829366551446818816;1661641667789856800;1661641667789856768;"https://pbs.twimg.com/media/Fw9V9dAaAAIeFJf.jpg";"photo";asumsico
Thu May 25 07:53:45 +0000 2023;1661641690254561300;1661641690254561285;"@moonareas Pengen punya anak jaman skarang bkn pake metode tanam benih lagi ya";0;0;0;0;;in;1448989027630075904;1661572912854495200;1661572912854495232;"";"";jangancapek
Thu May 25 07:53:38 +0000 2023;1661641662068850700;1661641662068850689;"Saudar @Miduk17 dan @ch_chotimah2 tolong sampaikan ke Calon Presiden MUKA TEMBOK anda. Urusin tu Daerahnya sendiri. https://t.co/s2KhERtV0c";0;0;1;1;;in;1222354812;1661641662068850700;1661641662068850689;"https://pbs.twimg.com/ext_tw_video_thumb/1661641614589317120/pu/img/Ydpog8GhkJAixhKY.jpg";"photo";antoxOn7
Thu May 25 07:53:59 +0000 2023;1661641750434443300;1661641750434443272;"@AndiSinulingga IQ rendah mau jadi presiden,hanya pemakan taik Yaman aja mau di kibulin👇 https://t.co/c4RD3634RN";0;0;0;0;;in;1485292726837211136;1661589034165239800;1661589034165239809;"https://pbs.twimg.com/ext_tw_video_thumb/1661641569894809603/pu/img/K5Z1XRtBdU4YVm-R.jpg";"photo";Yha2n3
Thu May 25 07:54:46 +0000 2023;1661641945314398200;1661641945314398214;"@JudahLion88 @Narasi_winda @aniesbaswedan Presiden nya Ukraina mantan juara standup comedy, tp apa bisa dia sekarang bikin rakyatnya ketawa smpe cekikikan .. malah cari panggung terus dimana-mana di forum Internasional, smpe di tolak pidato di piala Oscar. Aneh juga kan 😁😁";0;0;0;0;;in;244416359;1661628169164849200;1661628169164849152;"";"";alekda
Thu May 25 07:53:41 +0000 2023;1661641674253275100;1661641674253275137;"Tak hanya itu, Presiden  juga mendorong MK untuk terus bekerja keras agar Pemilu serentak 2024 mendatang menjadi ajang pembuktian kualitas demokrasi Indonesia serta menghadirkan kehidupan yang lebih baik bagi seluruh rakyat Indonesia.";0;1;0;0;;in;829366551446818816;1661641667789856800;1661641667789856768;"";"";asumsico
Thu May 25 07:54:25 +0000 2023;1661641860274872300;1661641860274872320;"@moonareas Terima kalo emang PENGEN NONTON aja";0;0;0;0;;in;1448989027630075904;1661635724448522200;1661635724448522240;"";"";jangancapek
Thu May 25 07:54:51 +0000 2023;1661641967640670200;1661641967640670215;"@collegemenfess Semangat";0;0;0;0;;in;1448989027630075904;1661336259250512000;1661336259250511875;"";"";jangancapek
Thu May 25 07:51:42 +0000 2023;1661641174493581300;1661641174493581312;"Selain bertemu Menhan RI, Menteri Angkatan Bersenjata Republik Prancis juga melaksanakan kunjungan kehormatan ke Presiden RI Joko Widodo dan Menteri Luar Negeri RI Retno Marsudi.\n#SemuaDukungPrabowo #IkutPakde Prabowo Subianto https://t.co/LbkpPDX2KW";0;1;0;0;;in;1287936042750758912;1661641164473380900;1661641164473380864;"https://pbs.twimg.com/media/Fw9VQJKaEAUBpwp.jpg";"photo";mercifulove
Thu May 25 07:51:33 +0000 2023;1661641136803582000;1661641136803581957;"KSP Moeldoko mengungkap keberanian Presiden Jokowi dalam pertemuan G7 di Hiroshima, Jepang.\n@Dr_Moeldoko mengatakan Jokowi mengerek target penurunan emisi.\n#MoeldokoPenjagaNKRI https://t.co/CHotZvyRCJ";0;0;0;0;;in;1303214557884633088;1661641136803582000;1661641136803581957;"https://pbs.twimg.com/ext_tw_video_thumb/1661641084328632321/pu/img/MWH5KUBWeWSg8zXT.jpg";"photo";putrivio3
Thu May 25 07:51:51 +0000 2023;1661641212095508500;1661641212095508480;"Demokrasi Dibajak Lembaga Survey\n\nLembaga Survey seolah olah tak henti hentinya membombardir masyarakat dengan rilis hasil surveynya. Publik seolah dipaksa harus mempercayai hasil dari lembaga survey tersebut.\n\nDari mulai merokenya suara seorang calon \npresiden. Sampai klaim… https://t.co/1qiEJtH4Ru";0;0;0;0;;in;181878507;1661641212095508500;1661641212095508480;"https://pbs.twimg.com/ext_tw_video_thumb/1661640215897976833/pu/img/Ixr5LYlEhMz56lwA.jpg";"photo";achmadnurhdyt
Thu May 25 05:07:57 +0000 2023;1661599964135559200;1661599964135559168;"@prastow @KATADATAcoid @KemenPU Sungguh aneh sekali jika PUPR maupun BPS tidak memiliki data lengkap tentang penambahan jalan, dimana, kapan, berapa biayanya, dll.\n\nSemoga ini tidak ada apa-apanya.";1;1;0;11;;in;1603768816189988865;1661547853012144000;1661547853012144128;"";"";rangkutifuat
Thu May 25 03:19:57 +0000 2023;1661572785293131800;1661572785293131776;"Betulkah Prof Mahfud menyebut ada rekaman percakapan sejumlah pejabat teras terkait kasus korupsi BTS di Kemeninfo? Kalo betul,kita semua rakyat se-Nusantara desak dn dukung Mahfud bongkar rekaman itu ke publik. Dulu ketika masih di MK pernah dilakukan.Masih ingat?#RakyatMonitor# https://t.co/qHbzrsADsM";16;75;147;333;;in;4326839355;1661572785293131800;1661572785293131776;"https://pbs.twimg.com/media/Fw8Xo3PaYAAHTxG.jpg";"photo";BennyHarmanID
Thu May 25 07:52:32 +0000 2023;1661641385093787600;1661641385093787648;"@moonareas Nggatau yh aku di kamar";0;1;0;1;;in;1448989027630075904;1661641111654523000;1661641111654522881;"";"";jangancapek
Thu May 25 07:53:34 +0000 2023;1661641644217892900;1661641644217892864;"@Ahwal08 @sospolkw "KADER PARTE X KORUPSI TUH, KNAPA PARTAI KORUP, KETUA NYA DI CALON KAN JD PRESIDEN"\n\nLebih parah mana.. \nDan terserah ini alur atau alir, tp itu soal generalisasi";0;0;0;0;;in;1589754038324977667;1661608328190128000;1661608328190128128;"";"";DE_Sapta5
Thu May 25 07:51:31 +0000 2023;1661641128096186400;1661641128096186370;"@fajarnugros 1. Regresi demokrasi Indonesia trparah pasca reformasi justru trjd di era presiden sipil\n\n2. Naiknya kprcayaan rakyat pd prajurit adl buah dr turunnya kprcayaan rakyat pd politisi\n\n3. Perilaku alamiah prajurit adl patuh komando. Mrk hny akan masuk politik jika "diberi" panggung";0;0;0;0;;in;1579007764839309312;1661311323219828700;1661311323219828736;"";"";Dasadasar
Thu May 25 07:52:36 +0000 2023;1661641402760192000;1661641402760192000;"Saya yakin orang type Pak Machfud ini type org yg jujur pasti di buka dipersidangan Bakan seperti org yg sdg nyalon Presiden ex Yaman itu, ngomong ga ada yg bisa dipercaya !!!";0;0;0;0;;in;1342027199625347075;1661641402760192000;1661641402760192000;"";"";GMagribhi
Thu May 25 07:51:49 +0000 2023;1661641203186794500;1661641203186794496;"@KakekHalal Indonesia memilih presiden  yg the real deal presiden, bukan presiden hasil survey atau presiden youtube. Kalo hasil survey bisa jadikan orang presiden,  Malih jadi presiden lebih dulu.";0;0;0;0;;in;1559889195837308930;1661380030759305200;1661380030759305224;"";"";86Bohay
Thu May 25 07:40:33 +0000 2023;1661638366667083800;1661638366667083776;"Dea Ananda Melati, Pesinden Muda Jember https://t.co/rZnUk3yVUD";1;0;0;1;;in;2392460208;1661638366667083800;1661638366667083776;"";"";jawapos
Thu May 25 07:51:42 +0000 2023;1661641173960896500;1661641173960896512;"PUPR-BPS entah mana yang benar.\nJika ada yang gak beres ada 2 indikasi. \n1. Bodoh \n2. Korup \nPelajaran dasar jadi pemimpin.\nPUPR-BPS ke-2nya anak buah Presiden.\nTinggal Presiden periksa.\n\nAtau malah Presidennya yg punya 2 indikasi itu. Rakyat atasan Presiden, DPR harus periksa.";0;0;0;0;;in;1097021784212135936;1661641173960896500;1661641173960896512;"";"";AntiPengPeng
Thu May 25 07:52:34 +0000 2023;1661641394442883000;1661641394442883073;"@awemany Sby itu kualitas paling minimal pas jadi presiden tapi yang ini malah dibawahnya 🤣 kacau";0;0;0;0;;in;252440962;1661574026450595800;1661574026450595841;"";"";yourpadawann
Thu May 25 07:53:32 +0000 2023;1661641637108367400;1661641637108367363;"@MarahIchsan @jokowi @KemenPU Mobil2 yg lewat keliatan bersih seblm melewati kubangan lumpur. Apa hanya di satu titik itu  yg jalannya Rusak?  \n\nApa semua harus dihandle Presiden?";0;0;0;0;;in;1076439393823449091;1661628213033078800;1661628213033078784;"";"";Luthfi_nashrul
Thu May 25 07:51:52 +0000 2023;1661641215937486800;1661641215937486849;"Demokrasi Dibajak Lembaga Survey\n\nLembaga Survey seolah olah tak henti hentinya membombardir masyarakat dengan rilis hasil surveynya. Publik seolah dipaksa harus mempercayai hasil dari lembaga survey tersebut.\n\nDari mulai merokenya suara seorang calon \npresiden. Sampai klaim… https://t.co/M14cTlqu2Z";0;0;0;0;;in;181878507;1661641215937486800;1661641215937486849;"https://pbs.twimg.com/ext_tw_video_thumb/1661639529110056960/pu/img/9xRcEVy-pLhqPCuM.jpg";"photo";achmadnurhdyt
Thu May 25 07:51:57 +0000 2023;1661641237269708800;1661641237269708800;"Gubernur Jawa Barat Ridwan Kamil menempati posisi keempat pada hasil survei terbaru Lembaga Survei Jakarta (LSJ) bakal calon presiden 2024.\n\nHasil survei dari LSJ yang dilakukan 9 hingga 17 Mei 2023 di 34 provinsi di seluruh Indonesia, \n#Ridwankamil\nhttps://t.co/88wfkBLlzx";0;1;0;0;;in;1474732627244433409;1661641237269708800;1661641237269708800;"";"";Ciamis_Mani5
Thu May 25 07:51:43 +0000 2023;1661641180084592600;1661641180084592640;"@alisyarief Indonesia butuh pemimpin yg suka bekerja keras \natletis dan energik \nsuka terjun  ke masyarakat \naktif mencari &amp; memberikan solusi permasalahan \ntidak suka duduk berjam-jam di ruangan yg ber-AC \napalagi di Istana\n#GanjarPenerusJokowi\n#GanjarPranowoPresiden2024 https://t.co/yilGZKp9Ll";0;0;0;0;;in;974170341986639872;1661598895888277500;1661598895888277506;"https://pbs.twimg.com/media/Fw9VzmmakAEDv3i.jpg";"photo";JuniorPrangko
Thu May 25 07:53:24 +0000 2023;1661641604061630500;1661641604061630465;"@Aryprasetyo85 @gibran_tweet @03__nakula @al_lasan @Anak__Ogi @Arindra__ @B3doel___ @bwinsandi3 @ch_chotimah2 @denni_sauya @DM_N4BYL @seruanhl itu berita telah ber-bulan2 atau ber-tahun2 lalu ?\n\nG7 summit 2023, \nada perwakilan dari Nokia sebaris dengan presiden RI Jokowi,\nikut meeting dengan berbagai pemimpin negara, \njuga ada perwakilan Citicorp disamping Trudeau \n\nHuawei tidak diundang G7 ? 😁";0;0;0;0;;in;624211261;1661403982575841300;1661403982575841282;"";"";a_doni95
Thu May 25 07:52:39 +0000 2023;1661641412910403600;1661641412910403584;"@democrazymedia Penggiringan atau pembentukan opini nih maksudnyaa Oom ??\nSangat Sangat Sangat Tidak Setujuuuuu...\nDari Simpatisan Militan\n@aniesbaswedan \nPresiden RI 2024-2029\nUntuk Indonesia Sejahtera\nDan Berkeadilan";0;0;0;0;;in;1637692626215501824;1661602996877242400;1661602996877242369;"";"";carlitovito180
Thu May 25 07:52:24 +0000 2023;1661641350570475500;1661641350570475522;"Jembar aja punya presiden emang Indonesia doang punya presiden.";0;0;0;0;;in;1540286824144596993;1661641350570475500;1661641350570475522;"";"";parhobas6
Thu May 25 07:53:23 +0000 2023;1661641596847390700;1661641596847390721;"@baharirwan2 @Ranger_Ichsan Orang udh pada tau klo pak AB jadi Presiden...akan lbh banyak pejabat yg pake rompi anti malu warna orange (terutama yg selama ini di "amankan")";0;0;0;0;;in;1500376021;1661367466788810800;1661367466788810755;"";"";nugienh
Thu May 25 07:50:17 +0000 2023;1661640819428966400;1661640819428966400;"@Dennysiregar7 To apa milih presiden, tapi harus tnduk dan patuh sama jun²nganya...??? Msa harus ngekor ktum partai y... 😎😎😒😏😏";0;0;0;0;;in;1521397049970683905;1661555485064204300;1661555485064204288;"";"";YougunPratama
Thu May 25 07:48:35 +0000 2023;1661640388258701300;1661640388258701313;"Ia mengungkapkan salah satu faktor yang sangat dipertimbangkan oleh masyarakat dalam menentukan pilihan pada pemilihan presiden (pilpres)#SemuaDukungPrabowo #IkutPakde Prabowo Subianto";0;1;0;0;;in;1598275455278551041;1661640357539623000;1661640357539622912;"";"";Muhamma48288841
Thu May 25 07:50:50 +0000 2023;1661640958453358600;1661640958453358592;"@aniesbaswedan Semoga Alloh SWT mudahkan dan takdirkan jadi presiden. \n\nSaya dari Banyumas dukung pak Anies";0;0;0;0;;in;951952690111594496;1661615129165955000;1661615129165955072;"";"";NgilmuKantiLaku
Thu May 25 07:50:02 +0000 2023;1661640754568261600;1661640754568261632;"Relawan: Istilah 'Petugas Partai' Tak Bermaksud Merendahkan Presiden Jokowi! https://t.co/eDxBqYgMVG";0;0;0;0;;in;30617522;1661640754568261600;1661640754568261632;"";"";WartaEkonomi
Thu May 25 07:49:40 +0000 2023;1661640664642392000;1661640664642392064;"@LANGKAHANIES @bos_sir Kesejahteraan, kesetaraan, kesemakmuran dan keadilan sosial sebenernya bukan kata yang baru bagi kita semua, apa yang membedakan apabila kelak Anies menjadi Presiden 2024 ?";0;0;0;0;;in;1603665522972708864;1661625405563113500;1661625405563113472;"";"";Godam062
Thu May 25 07:49:14 +0000 2023;1661640553480745000;1661640553480744960;"Saran utk Anies, sebaliknya tdk perlu kritisi atau serang Jokowi demi pilpres, Jokowi sdh tdk ikut kompetisi, tapi seranglah Bacapres lain dgn argumen yg tepat, jgn data dari medsos, hadeehh gimana mau jd presiden, kl ngawur datanya";0;0;0;0;;in;1573220083890982913;1661640553480745000;1661640553480744960;"";"";TosoHans
Thu May 25 07:50:03 +0000 2023;1661640760419324000;1661640760419323904;"@collegemenfess Vit C sama B kompleks tapi makanannya jangan ngaco-ngaco banget";0;0;0;0;;in;1448989027630075904;1661636995532353500;1661636995532353536;"";"";jangancapek
Thu May 25 07:48:50 +0000 2023;1661640454264467500;1661640454264467461;"Kementerian Perdagangan menyebut saat ini sudah memiliki Peraturan Presiden tentang jenis barang apa saja yang dilarang dan diawasi peredaran dan penjualannya di dalam negeri\n\nhttps://t.co/6KgmONJ0Wo";0;0;0;0;;in;1608725343850082305;1661640454264467500;1661640454264467461;"";"";baperanewscom
Thu May 25 07:48:36 +0000 2023;1661640395422597000;1661640395422597122;"adalah kemampuan atau kapabilitas calon presiden dalam memecahkan masalah (52,5%).#SemuaDukungPrabowo #IkutPakde Prabowo Subianto";0;1;0;0;;in;1598275455278551041;1661640357539623000;1661640357539622912;"";"";Muhamma48288841
Thu May 25 07:48:51 +0000 2023;1661640458492170200;1661640458492170245;"Bagi Prabowo Selalu Ada Cara Buat Menggapai Kursi Presiden https://t.co/7mfPmtEQxq";0;0;0;0;;in;1585125976828424193;1661640458492170200;1661640458492170245;"https://pbs.twimg.com/media/Fw9VKbSacAU-hAn.jpg";"photo";Nurhayati2513
Thu May 25 07:50:18 +0000 2023;1661640823254175700;1661640823254175744;"@KakekHalal Gpp prabobowo daripada Ganjar presiden cap bokep";0;0;0;0;;in;1649730900052307970;1661562931363057700;1661562931363057666;"";"";id_walking6682
Thu May 25 07:50:50 +0000 2023;1661640955366379500;1661640955366379520;"@tvOneNews Ayo balas dg data yg katanya ada yg LBH baik daripada apa yang d sampaikan oleh Anis kalo memang data Anis TDK lengkap atau salah tunjukkan data yg benar jgn langsung main lapor itu argumen dari seorang calon presiden meskipun dia mengkritik TDK masalah benar atau salah";0;0;0;0;;in;1659552449190064128;1661340662229536800;1661340662229536768;"";"";Mado15Saiful
Thu May 25 07:30:00 +0000 2023;1661635713140392000;1661635713140391942;"Anies Kritik Pedas, Salahkah Jokowi Bangun Banyak Tol?\nhttps://t.co/OyfMI09JaB";1;0;1;2;;in;1243804423001763841;1661635713140392000;1661635713140391942;"";"";democrazymedia
Thu May 25 07:49:10 +0000 2023;1661640537445896200;1661640537445896194;"@rangkutifuat @prastow @KATADATAcoid @KemenPU PUPR-BPS entah mana yang benar.\n\nJika ada yang gak beres ada 2 indikasi.\n1. Bodoh\n2. Korup\nPelajaran dasar jadi pemimpin\nPUPR-BPS ke-2nya anak buah Presiden. Tinggal Presiden periksa.\n\nAtau malah Presidennya yg punya 2 indikasi itu. \nRakyat atasan Presiden, DPR harus periksa.";0;0;0;1;;in;1097021784212135936;1661547853012144000;1661547853012144128;"";"";AntiPengPeng
Thu May 25 07:49:42 +0000 2023;1661640669587456000;1661640669587456001;"@tanyakanrl Mending tebak presiden";0;0;0;0;;in;1572918333447745539;1661603001738621000;1661603001738620928;"";"";bumikoksegitiga
Thu May 25 07:46:53 +0000 2023;1661639964030017500;1661639964030017538;"Dasco mengatakan Prabowo merupakan Menteri Pertahanan yang sudah semestinya melaporkan tugas yang dijalankan kepada Presiden.#SemuaDukungPrabowo #IkutPakde Prabowo Subianto";0;1;0;0;;in;1598275455278551041;1661639950335455200;1661639950335455234;"";"";Muhamma48288841
Thu May 25 07:46:48 +0000 2023;1661639942580347000;1661639942580346880;"@KakekHalal Coba kalo survey itu pertanyaannya simpel, jangan berbelit². Contoh, "Siapakah Presiden Kamu tahun 2024? "";0;0;0;0;;in;299492468;1661380030759305200;1661380030759305224;"";"";alfikri76
Thu May 25 07:48:28 +0000 2023;1661640361062850600;1661640361062850560;"JAKARTA - Mayoritas pendukung Presiden Joko Widodo (Jokowi) pada pilpres sebelumnya mendukung Menteri Pertahanan Prabowo Subianto pada Pilpres 2024.#SemuaDukungPrabowo #IkutPakde Prabowo Subianto";0;1;0;0;;in;1598275455278551041;1661640357539623000;1661640357539622912;"";"";Muhamma48288841
Thu May 25 07:47:32 +0000 2023;1661640125644959700;1661640125644959744;"Presiden Jokowi bakal ke Lampung lagi. Rencananya, akan membuka kegiatan Gelar Teknologi Tepat Guna Nusantara (GTTGN) XXIV pada 7 Juni 2023 di Lampung. #publisherstory #lampunggeh https://t.co/Az4Y8GuH52";1;0;0;0;;in;759692754985242625;1661640125644959700;1661640125644959744;"";"";kumparan
Thu May 25 07:46:51 +0000 2023;1661639952357269500;1661639952357269504;"Presiden Xi seru dunia bina tamadun multipolar https://t.co/du9fU0q7wf";0;0;0;1;;in;155432431;1661639952357269500;1661639952357269504;"";"";BuletinTV3
Thu May 25 07:46:52 +0000 2023;1661639958032158700;1661639958032158720;""Ya ini wartawan selalu lebih tahu dari kita ya, tapi saya pikir pertemuan siang ini antara Pak Prabowo dan Pak Jokowi adalah hal biasa pertemuan antara presiden dan pembantu presiden sebagai menterinya,#SemuaDukungPrabowo #IkutPakde Prabowo Subianto";0;1;0;0;;in;1598275455278551041;1661639950335455200;1661639950335455234;"";"";Muhamma48288841
Thu May 25 07:48:19 +0000 2023;1661640324127821800;1661640324127821824;"@fastpced Yang kiri aj planga-plongo jd kaya polos dikit";0;1;0;0;;in;1448989027630075904;1661639896925356000;1661639896925356032;"";"";jangancapek
Thu May 25 07:45:38 +0000 2023;1661639646915465200;1661639646915465217;"@CNNIndonesia Harusnya yg diundang di acara pemprov itu presiden / Wapres atau menteri bukan pejabat pemprov lain.";0;0;0;0;;in;112104043;1661564997422715000;1661564997422714880;"";"";sibermun
Thu May 25 07:45:34 +0000 2023;1661639630746435600;1661639630746435584;"Berikut Ruas Jalan Provinsi di Riau yang akan Diperbaiki Pemerintah Pusat: https://t.co/fvfXioYa49 -&amp;nbsp;Pemerintah pusat dipastikan Tenaga Ahli Utama Kantor Staf Presiden (KSP), Helson Siagian akan ikut menangani perbaikan jalan daerah di Provinsi… https://t.co/PmJRMoqzga https://t.co/QdH2XhNWo0";0;0;0;0;;in;984647597699751937;1661639630746435600;1661639630746435584;"https://pbs.twimg.com/media/Fw9UcDVakAA1Mis.jpg";"photo";Riau1Official
Thu May 25 07:45:15 +0000 2023;1661639553080492000;1661639553080492032;"NIH DAJAL  USAHA  BANGET  YA  MAU HANCUR KAN MASA DEPAN RAKYAT INDONESIA .AGAMA ITU PENTING .HANYA IBLIS &amp;  KELOMPOK PKI YG MENENTANG AGAMA .LIHAT AMERIKA WAKIL  PRESIDEN NYA TURUNAN INDIA MEREKA SAMBUT .INGGRIS PERDANA MENTERI NYA JUGA TURUNAN  INDIA MEREKA SUKA 👇🏼 LU DAKJAL !";0;0;0;0;;in;1565278686555013121;1661639553080492000;1661639553080492032;"";"";fransis74201222
