Name,Text,Like,Column 4
adibaaaaaaaah,Mohon info teman bus Medan yang bus nya ga ke detect oleh aplikasi mitra darat,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
tyaracya_nr,bayarnya bisa pakai dana tidak halte baleendah -alun alun?,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
imardik,Cara bayar pakai fitur NFC Di hp ku kok gak detect terus yaa.. 😢,1 like,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
piratesofpriyono,Min klo kartu transjakarta bisa gk d pke..,1 like,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
viviclone,Min kartu tol bisa??,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
ysusanti30,Kl kartu tsb msh aktif trus yg punya kartu uda meninggal apa blh d pke SM ortuxa atau kel intixa,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
lumin_osityyy,"Min, saya daftar tarif khusus dan sudah diterima, tapi waktu verifikasi di bus malah ditolak. Waktu di daftar ulang malah katanya Datanya sudah ada 😢",Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
teman_bus,"Hai Temanku, Teman Bus HANYA menerima metode pembayaran secara non tunai menggunakan:1. Pembayaran Kartu non tunai (E-Money, Brizzi, Tap Cash, Flazz), dengan cara menempelkan kartu ke alat Tap on Bus. 2. Pembayaran QRIS, dengan cara scan QR Code yang ada di pintu masuk melalui aplikasi e-wallet (seperti; Gopay, Ovo, Dana, LinkAja, ShopeePay, ataupun melalui aplikasi perbankan yang menyediakan fitur pembayaran dengan QRIS) atau m-banking yang sudah terdaftar QRIS di Bank Indonesia.Untuk info lebih lengkap hubungi call center kami di nomor 0821 82000 300 (Yogyakarta, Solo, Bali, Palembang, Medan dan Balikpapan) atau 0813 2400 1500 (Makassar, Banyumas, Bandung dan Surabaya) :)",Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"﻿Name,Text,Like,Column 4
kristina_labellevie,"Apakah ini berlaku di semua kota, min? Termasuk Bali?",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
yd.setya,Tp tidak berlaku kl di jogja 🔥,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
fotografer.gaul,Kalo pakai Qris bgm,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
sinta_mlin,"Tolong untuk mesin yang error di dalam Bus segera diperbaiki/diganti sehingga integrasi tidak terganggu.  Kadang kalo ngga harus tap di bis belakang dan nunggu lagi, kadang Tap di pool yang ktm armada lain.  Agak repot dan dilapangan ada saja kendalanya",1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
universefactt,"kayanya harus dicek ulang deh min. aku dom solo, bulan lalu sampe sekarang aku rutin pp naik busway, tapi pas pindah koridor itu tap kartu tapi ga terintegrasi. tetep kepotong 3.700 🙂",1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
alfanrailfans,Ingpo koridor baru teman bus surabaya min,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
pijat.jogjaa,"Lebih mudah pembayaran Transjogja, harus nya transportasi umum dibikin mudah, kasihan manula , penyandang disabilitas,",1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
kebudarsana,Bogor kapan nih....tarif integrasi,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
winar66,Mg yg lalu ke Jogja naik teman bus...Giwangan ke Malioboro...2 x dan cukup satu kali bayar....trims teman bus..,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
husnaatsar,Untuk mendapatkan kartu nya bisa beli dimana min,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
nadia_ulfa04,Min ACC dong membership kartu aku😢,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
husnulkasma,"kapan ya bs buka koridor 4 ke gowa,",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
cips63,"Untuk yg dibali kapan ya kira"" ada jurusan ke Klungkung/ krngasem?",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
_mamisinga,Bisa pindah koridor? Bagaimana cara mengetahui jika belum sampai 90 menit dan diperbolehkan pindah bus/koridor secara gratis?,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
arethaswahyu,Kapan ya teman bus Surabaya tambah koridor lagi? Trans Semanggi koridor 2 udah diambil alih Pemkot.,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
friiaccount,"Untuk pengurusan kartu khusus di kota Medan, dilakukan dimana ya Min?",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
envieta,Belum ada mesin untuk pakai kartu elektronik nya gara2 perpindahan sistem @teman_bus,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
estilosugar09,YG BENAR AJA 🗿 TETAP KE POTONG TUH😢  MANA GA TERINTEGRASI😂,2 likes,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"﻿Name,Text,Like,Column 4
miyanagideswira,Waduhh gercep. Selamat!,2 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
transit.smr,"Selamat warga balikpapan, doakan samarinda cepat nyusul ya 👏👏👏",12 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
sivalimaitri,Cara naik teman bus gimana ya yg d bali? Apa mkah bisa langsubg kita nunggu d halte ga perlu k terminal dlu?,1 like,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
daffa.azhar_,"Tapi...apakah nanti ada penambahan rute.....semisal kayak angkot feeder macam di solo atau wira wiri surabaya.....karna dari rute yg saya liat untuk bacitra ??? (Sebut aja begitu...soalnya kalo disingkat BCT gak enak di dengar 😂), karena ada lokasi2 yg ramai tapi belum ada rute busnya...tapi daerah itu juga jalannya kecil dan lumayan berbukit.",8 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
iraw.an9944,Nyaman dan bus menuju Samarinda Kalimantan.... melewati lika-liku perjalanan.,Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
j_jtaslim,"Mantaffff,angkot balikpapan yang mulai tersisih",2 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
adib_sastranegara,"Semoga ada koridor juga kearah kilo 24(Ujung Bpp) sama Kawasan Industri Kariangau,, kayaknya banyak pekerja perusahaan yang siap makai min 🔥🙌",16 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
almustaqim.ap,"Klaten minn ya allah, jogja solo aja mosok klaten ga onok-_",Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
ramadani.id,Siap meramaikan 🔥,1 like,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
butik_lovely2,Ditunggu teman bus ke /dari pelabuhan Trisakti dan ke/dari bandara Syamsudin Noor Banjarmasin,2 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
agustinawidyati,🔥,Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
nathaliachantikazaharazahara,Dimn beli atau buat kartu buat naik bis,Reply,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat"
